"Species" "Family" "Lifeform" "N" "Hemicellulose" "Cellulose" "Lignin" "LamWS" "LamFT" "VeinFT" "LamD" "LamT"
"108" "Miconia_nervosa" "Melastomataceae" "SHRUB" 5 186.071 180.356 93.353 0.034 255.5 1143.038 0.169 0.129
"109" "Morinda_seibertii" "Rubiaceae" "SHRUB" 2 126.068 127.735 71.056 0.017 261.675 1503.95 0.182 0.065
"110" "Mosannona_garwoodii" "Annonaceae" "MIDSTORY" 11 187.082 224.539 88.075 0.076 512.558 3436.935 0.395 0.148
"111" "Mouriri_myrtilloides" "Melastomataceae" "SHRUB" 5 118.401 59.842 161.573 0.04 280.65 1907.158 0.482 0.14
"112" "Myrcia_gatunensis" "Myrtaceae" "UNDERSTORY" 11 161.81 244.345 90.279 0.132 747.938 3174.125 0.335 0.176
"113" "Myrospermum_frutescens" "Fabaceae" "LIANA" 3 175.745 111.614 54.06 0.029 403.5 2795.133 0.299 0.08
"114" "Nectandra_cissiflora" "Lauraceae" "TREE" 9 140.064 238.009 257.557 0.102 628.469 3935.381 0.307 0.161
"115" "Nectandra_lineata" "Lauraceae" "MIDSTORY" 7 140.59 205.086 227.467 0.059 460.123 2935.765 0.34 0.13
"116" "Nectandra_umbrosa" "Lauraceae" "MIDSTORY" 6 274.112 133.807 166.091 0.074 504.925 3525.442 0.49 0.145
"117" "Neea_amplifolia" "Nyctaginaceae" "SHRUB" 5 197.286 193.437 162.649 0.053 246.175 1891.9 0.172 0.215
"118" "Ocotea_cernua" "Lauraceae" "MIDSTORY" 8 171.381 217.97 191.764 0.076 471.778 3731.167 0.329 0.162
"119" "Ocotea_oblonga" "Lauraceae" "TREE" 4 106.642 144.627 264.676 0.064 393.15 2122.063 0.272 0.161
"120" "Ocotea_puberula" "Lauraceae" "TREE" 5 195.824 180.215 165.417 0.044 361.225 3079.435 0.327 0.122
"121" "Ormosia_coccinea" "Fabaceae" "TREE" 8 124.164 269.192 200.729 0.114 713.667 5025.608 0.355 0.16
"122" "Ormosia_macrocalyx" "Fabaceae" "TREE" 7 180.893 247.56 178.816 0.08 479.379 4580.588 0.256 0.168
"123" "Ouratea_lucens" "Ochnaceae" "SHRUB" 4 136.251 223.144 214.019 0.111 549.213 5451.813 0.447 0.201
"124" "Palicourea_guianensis" "Rubiaceae" "SHRUB" 3 138.06 140.98 114.077 0.02 234.5 2899.9 0.327 0.085
"125" "Pentagonia_macrophylla" "Rubiaceae" "SHRUB" 7 143.664 348.39 240.694 0.13 494.585 3282.498 0.212 0.262
"126" "Perebea_xanthochyma" "Moraceae" "UNDERSTORY" 10 266.205 188.169 167.611 0.048 383.732 3551.214 0.296 0.123
"127" "Picramnia_latifolia" "Simaroubaceae" "UNDERSTORY" 4 172.477 137.203 93.314 0.062 425.54 3940.6 0.361 0.148
"128" "Piper_aequale" "Piperaceae" "SHRUB" 4 107.635 168.553 103.313 0.063 365.925 2467.125 0.239 0.173
"129" "Piper_arboreum" "Piperaceae" "SHRUB" 4 178.7 187.169 160.279 0.046 281.6 2414.7 0.202 0.163
"130" "Piper_carrilloanum" "Piperaceae" "SHRUB" 1 103.701 108.509 167.05 0.014 143.15 951.6 0.26 0.1
"131" "Piper_colonense" "Piperaceae" "SHRUB" 2 155.662 184.079 136.649 0.05 323.05 2003.775 0.197 0.155
"132" "Piper_cordulatum" "Piperaceae" "SHRUB" 5 133.139 192.012 204.493 0.118 355.529 2709.375 0.175 0.334
"133" "Piper_perlasense" "Piperaceae" "SHRUB" 7 119.803 193.324 124.309 0.05 353.057 2554.86 0.247 0.142
"134" "Piper_reticulatum" "Piperaceae" "SHRUB" 7 125.953 196.02 100.127 0.05 393.095 2402.53 0.252 0.126
"135" "Platymiscium_pinnatum" "Fabaceae" "TREE" 2 165.389 208.29 107.565 0.033 241.85 3503.375 0.224 0.133
"136" "Platypodium_elegans" "Fabaceae" "TREE" 3 162.254 187.338 176.339 0.037 318.713 2776.463 0.249 0.116
"137" "Posoqueria_latifolia" "Rubiaceae" "SHRUB" 8 174.291 181.329 115.297 0.066 305.913 2468.967 0.239 0.212
"138" "Poulsenia_armata" "Moraceae" "TREE" 5 151.985 201.199 116.832 0.059 401.8 2732.261 0.265 0.149
"139" "Pourouma_bicolor" "Urticaceae" "TREE" 3 130.612 281.633 269.796 0.061 421.775 2723.5 0.213 0.139
"140" "Pouteria_reticulata" "Sapotaceae" "TREE" 6 135.473 196.123 215.506 0.051 364.03 2730.167 0.331 0.139
"141" "Pouteria_stipitata" "Sapotaceae" "TREE" 5 162.123 163.362 199.504 0.043 434.1 2776.488 0.483 0.1
"142" "Protium_costaricense" "Burseraceae" "TREE" 8 160.227 238.924 232.045 0.049 469.238 2979.238 0.262 0.103
"143" "Protium_panamense" "Burseraceae" "TREE" 8 161.303 254.99 152.342 0.069 491.613 4069.8 0.36 0.143
"144" "Pseudobombax_septenatum" "Malvaceae" "TREE" 3 218.388 215.232 176.941 0.04 296.175 1606.258 0.244 0.128
"145" "Psidium_friedrichsthalianum" "Myrtaceae" "UNDERSTORY" 7 124.636 164.936 113.419 0.047 429.15 3225.075 0.268 0.112
"146" "Psychotria_acuminata" "Rubiaceae" "SHRUB" 3 148.882 178.406 109.447 0.022 324.78 2503.94 0.272 0.07
"147" "Psychotria_chagrensis" "Rubiaceae" "SHRUB" 5 184.134 194.905 134.424 0.077 283.35 3337.044 0.144 0.274
"148" "Psychotria_deflexa" "Rubiaceae" "SHRUB" 4 181.78 208.107 68.533 0.038 260.892 2045.483 0.243 0.145
"149" "Psychotria_grandis" "Rubiaceae" "SHRUB" 9 98.69 193.998 171.175 0.055 261.483 2284.391 0.252 0.212
"150" "Psychotria_horizontalis" "Rubiaceae" "SHRUB" 4 176.954 186.644 136.507 0.041 266.988 2291.313 0.256 0.15
"151" "Psychotria_limonensis" "Rubiaceae" "SHRUB" 5 69.998 140.211 206.978 0.083 445.753 1876.995 0.215 0.189
"152" "Psychotria_marginata" "Rubiaceae" "SHRUB" 3 83.714 141.462 138.139 0.05 290.488 2683.988 0.309 0.173
"153" "Pterocarpus_rohrii" "Fabaceae" "TREE" 7 208.867 257.617 203.404 0.034 333.587 2809.236 0.208 0.104
"154" "Quassia_amara" "Simaroubaceae" "UNDERSTORY" 12 119.627 210.883 59.073 0.046 379.834 3102.741 0.3 0.124
